id,nim,nama,nik,tanggal_lahir,nama_ibu,email,no_hp,alamat,ipk,uuid
101805352365850624,221050001,F***** K*****,3**************1,1999-03-12 00:00:00 +0000 UTC,Siti Aminah,f************@email.com,081234567890,QKzEAEHN,3.45,dc6f2bb5-1c1c-11f1-addf-82c85b6d758e
101805352365850625,221050002,F***** R****,3**************2,1999-01-22 00:00:00 +0000 UTC,Rina Kartika,f***********@email.com,081298765432,cXRHYOyo,3.12,dc6f2f02-1c1c-11f1-addf-82c85b6d758e
101805352365850626,221050003,B**** A*******,3**************3,1998-04-15 00:00:00 +0000 UTC,Sri Wahyuni,b*************@email.com,081377889900,pccwHPfg,3.78,dc6f2fc5-1c1c-11f1-addf-82c85b6d758e
101805352365850627,221050004,M******* N***,3**************4,1997-06-07 00:00:00 +0000 UTC,Nur Aisyah,m*****@email.com,082112223334,eomyRrRc,2.98,dc6f3003-1c1c-11f1-addf-82c85b6d758e
101805352365850628,221050005,N**** A*****,3**************5,1998-08-11 00:00:00 +0000 UTC,Dewi Sartika,n***********@email.com,082233445566,BmjYruMc,3.66,dc6f303f-1c1c-11f1-addf-82c85b6d758e
101805352365850629,221050006,N**** T****,3**************6,1996-03-23 00:00:00 +0000 UTC,Fatimah,n**********@email.com,081355667788,LTzMAovT,3.51,dc6f30a4-1c1c-11f1-addf-82c85b6d758e
101805352365850630,221050007,A***** P*****,3**************7,1999-05-05 00:00:00 +0000 UTC,Lina Marlina,a************@email.com,081377665544,xCOTozdP,3.22,dc6f311b-1c1c-11f1-addf-82c85b6d758e
101805352365850631,221050008,R****** H******,3**************8,1997-01-19 00:00:00 +0000 UTC,Sulastri,r**************@email.com,082211119999,giROXHLw,2.87,dc6f3158-1c1c-11f1-addf-82c85b6d758e
101805352365850632,221050009,D**** D***,3**************9,1998-06-14 00:00:00 +0000 UTC,Yuni Astuti,d*********@email.com,081399887766,thxhLOlx,3.1,dc6f318e-1c1c-11f1-addf-82c85b6d758e
101805352365850633,221050010,A***** S******,3**************0,1995-04-02 00:00:00 +0000 UTC,Ratna Dewi,a*************@email.com,081288776655,yXRhhjik,3.44,dc6f31c5-1c1c-11f1-addf-82c85b6d758e
101805352365850634,221050011,A*** S******,3**************1,1996-05-03 00:00:00 +0000 UTC,Nurhayati,a***********@email.com,081234000111,HUDgiIhG,3.05,dc6f3222-1c1c-11f1-addf-82c85b6d758e
101805352365850635,221050012,R**** P******,3**************2,1997-08-12 00:00:00 +0000 UTC,Siti Rahma,r************@email.com,081234000112,DalKlOVi,3.82,dc6f329c-1c1c-11f1-addf-82c85b6d758e
101805352365850636,221050013,F**** N******,3**************3,1998-09-04 00:00:00 +0000 UTC,Sri Lestari,f************@email.com,081234000113,vRJQxuQs,3.41,dc6f32d9-1c1c-11f1-addf-82c85b6d758e
101805352365850637,221050014,I**** M******,3**************4,1999-03-21 00:00:00 +0000 UTC,Yuliana,i************@email.com,081234000114,KxmsSnAg,2.91,dc6f330c-1c1c-11f1-addf-82c85b6d758e
